statement_id,date,period_referenced,event,speaker,role,theme,quote,quantity,quantity_num_low,quantity_num_high,unit,basis,scope,night_weighted,official_or_mirror,quote_verified,source_key,source_file,source_url,access_date,note
D048,2026-08-06,2Q26,letter,Airbnb (shareholder letter),company,cancellation_policy,"Updated cancellation policies: We migrated eligible listings from Strict to Firm cancellation policies, helping hosts attract more bookings.",,,,qualitative,host cancellation policy mix,eligible listings,n/a,official,file,letter_2Q26,data/raw/letters/2Q26_d70413dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526337928/d70413dex991.htm,2026-09-11,"A 2026 cancellation-policy change that PR #32 does not model. Neither Strict nor Firm is flexible or moderate, so this migration does not by itself enlarge the RNPL-eligible pool, but it does raise the platform-wide refundable share and therefore the cancellation rate independently of RNPL. It is a confound for attributing any 2026 cancellation-rate rise to RNPL."
D049,2026-08-06,2Q26,letter,Airbnb (shareholder letter),company,take_rate,"Factors impacting the Q2 2026 take rate included FX and the timing of when guests booked their travel and when guests stayed-a dynamic that reflects the growth of Reserve Now, Pay Later, which has",13.2%,13.2,13.2,percent,"implied take rate, revenue over GBV",global,no,official,file,letter_2Q26,data/raw/letters/2Q26_d70413dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526337928/d70413dex991.htm,2026-09-11,"Official confirmation that RNPL widens the gap between the booking quarter and the stay quarter enough to move the reported take rate. If the booking-to-stay wedge is large enough to show in take rate, it is large enough to move cancellations across reported quarters."
D050,2026-08-06,FY26,call,Ellie Mertz,cfo,take_rate,"For the full year, we expect our implied take rate to be relatively flat compared to 2025, accounting for the timing of bookings versus check-in with Reserve Now, Pay Later, as well as higher customer incentives related to new businesses during 2026.",flat y/y,,,qualitative,FY26 implied take rate,global,no,mirror,file,call_2Q26,data/raw/transcripts/web/2Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/662687-q2-2026/,2026-09-11,"Reverses the 1Q26 guidance of modest take-rate upside, and names RNPL booking-versus-check-in timing as one of the two reasons. Logged in the main tree as data/processed/overnight/03_forward_claims.csv rows C076 and C080."
D051,2026-08-06,2Q26,letter,Airbnb (shareholder letter),company,unearned_fees,"Absent the impact of Reserve Now, Pay Later bookings, which defer guest payments from the time of booking closer to the date of stay, we expect that unearned fees would have grown year-over-year.",,,,qualitative,"unearned fees, y/y",global,no,official,file,letter_2Q26,data/raw/letters/2Q26_d70413dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526337928/d70413dex991.htm,2026-09-11,2Q26 unearned fees -0.9% y/y against GBV +15.7%. Note the 1Q26 version of this sentence covered unearned fees and FCF; the 2Q26 version covers unearned fees only.
D052,2026-08-06,3Q26,letter,Airbnb (shareholder letter),company,guide,"We expect year-over-year GBV growth to be in the mid teens, driven by low double-digit growth in Nights and Seats Booked and a moderate increase in ADR due to mix shift and price appreciation.",low double digit nights,10,12,percent,3Q26 reported nights and seats booked growth guide,global,yes,official,file,letter_2Q26,data/raw/letters/2Q26_d70413dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526337928/d70413dex991.htm,2026-09-11,"Issued 6 August 2026 with July in hand, and with the July eligibility expansion already live. The 10 to 12 reading of 'low double digits' is a researcher mapping, not a company range."
D053,2026-08-06,2Q26,call,Brian Chesky,ceo,relative_size,"On pricing, I think this is one of the biggest single levers for growth that we have. I think it's significantly greater than Reserve Now, Pay Later. If you want to just put it in perspective, it is, I don't know, I don't want to say a multiple, but many multiples bigger than RNPL.",many multiples,,,qualitative,"relative growth contribution, pricing roadmap versus RNPL",global,no,mirror,file,call_2Q26,data/raw/transcripts/web/2Q26.html,https://stockanalysis.com/stocks/abnb/transcripts/662687-q2-2026/,2026-09-11,Management's own sizing puts RNPL well below the AI pricing work. Evidence that the 2027 story is not mainly an RNPL lap.
D054,2026-02-12,FY25,10-K,Airbnb (Form 10-K FY2025),company,kpi_definition,"For example, a booking made on February 15 would be reflected in Nights and Seats Booked for our quarter ended March 31. If, in the example, the booking were canceled on May 15, Nights and Seats Booked would be reduced by the cancellation for our quarter ended June 30.",,,,definition,transaction-period recognition of bookings and cancellations,global KPI,yes,official,file,10k_FY2025,data/raw/filings/abnb_10k_FY2025.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001559720&type=10-K,2026-09-11,"The definitional basis for the whole cohort exercise. A cancellation reduces the quarter in which it occurs, not the quarter of the original booking."
D055,2026-02-12,FY25,10-K,Airbnb (Form 10-K FY2025),company,unearned_fees,"Seasonality in GBV also affects Free Cash Flow (""FCF""). Higher GBV in the first half of the year typically results in increased unearned fees and higher FCF. During the third quarter, GBV is typically lower and check-ins reach their peak, resulting in decreased unearned fees.",,,,qualitative,normal seasonal path of unearned fees,global,no,official,file,10k_FY2025,data/raw/filings/abnb_10k_FY2025.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001559720&type=10-K,2026-09-11,"The baseline against which D038 must be scored. Unearned fees normally fall sequentially in Q3; management's RNPL claim is that RNPL pushes them up relative to that path. The test is therefore a y/y change in the Q3 level, not a sequential direction."
D056,2026-02-12,FY25,10-K,Airbnb (Form 10-K FY2025),company,backlog,"unbilled amounts for confirmed bookings under the terms of our payment programs (Pay Less Upfront and Reserve Now, Pay Later); and",,,,qualitative,FX exposure line naming the unbilled RNPL booking balance,global,no,official,file,10k_FY2025,data/raw/filings/abnb_10k_FY2025.htm,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001559720&type=10-K,2026-09-11,"Proof that Airbnb measures and hedges a confirmed-but-unbilled RNPL balance. That balance is the live RNPL exposure the materiality arithmetic needs, and it is never disclosed. It is the single highest-value IR ask."
D057,2026-08-06,2Q26,10-Q,Airbnb (Form 10-Q 2Q26),company,unearned_fees,"Seasonality in GBV also affects FCF. Unearned fees typically rise when GBV rises since guests pay at the time of booking. As such, FCF is typically highest in the first quarter and lowest in the fourth quarter. However, increasing adoption of RNPL, which shifts payment and unearned fees closer to the date of stay, is changing the typical seasonal dynamics between GBV and FCF.",,,,qualitative,seasonal relationship between GBV and unearned fees,global,no,official,file,10q_2Q26,data/raw/regulatory/quantification/abnb_2026q2_10q.html,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000027/abnb-20260630.htm,2026-09-11,"Audited-filing confirmation that the payment-timing shift is large enough to break the historical seasonal relationship, which is the same break Jessie's backlog-conversion table measures at about +4 points in 1Q26 and 2Q26."
D058,2026-08-06,1H26,10-Q,Airbnb (Form 10-Q 2Q26),company,unearned_fees,"This reflected unearned fees growing at a rate less than the GBV growth rate during the six months ended June 30, 2026, compared to the same period in the prior year, which was primarily due to the increased guest adoption of our flexible payment options, which allow guests to pay closer to check-in dates rather than at time of booking, shifting the timing of cash collection and its recognition in operating activities. For example, under our RNPL option, payment is collected closer to check-in rather than at booking. Accordingly, unearned fees are not recorded, and operating cash flows are not generated until payment is received.",,,,qualitative,"unearned fees growth versus GBV growth, 1H26",global,no,official,file,10q_2Q26,data/raw/regulatory/quantification/abnb_2026q2_10q.html,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000027/abnb-20260630.htm,2026-09-11,"States the mechanism precisely: an RNPL booking creates no unearned fee at all until the guest pays. So the unearned-fee line is a direct, if noisy, read on how much of the booked base is still unpaid, which is the population at risk of a payment-deadline cancellation."
D060,2026-02-12,4Q25,letter,Airbnb (shareholder letter),company,cancellation_policy,"Updated cancellation policies-In October, we announced new cancellation policies to make it easier for guests to book a stay, even if their plans change. Hosts can now offer free cancellation up to 14 days before check-in under a new Limited policy.",October 2025,,,date,announcement date of the cancellation redesign,global,n/a,official,file,letter_4Q25,data/raw/letters/4Q25_d58192dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312526000000/d58192dex991.htm,2026-09-11,"This dates the cancellation redesign, which PR #32 lists as undisclosed and models on the fee tranche-1 window. The letter puts it in October 2025, global, which vindicates PR #32's timing assumption and closes its caveat 2. It also names the new policy: Limited, free cancellation to 14 days before check-in."
D059,2026-08-06,2Q26,10-Q,Airbnb (Form 10-Q 2Q26),company,risk_language,"our expectations regarding future operating performance, including Nights and Seats Booked, Gross Booking Value (""GBV""), Average Daily Rate, and GBV per Nights and Seats Booked, and the potential impact of Reserve Now, Pay Later;",,,,qualitative,forward-looking-statement scope,global,n/a,official,file,10q_2Q26,data/raw/regulatory/quantification/abnb_2026q2_10q.html,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000027/abnb-20260630.htm,2026-09-11,"RNPL is named as a forward-looking risk to Nights and Seats Booked specifically, which is the KPI the trade is on."
